"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2022 19:00 - 03/01/2022 19:15","Germany (DE)","69236.82","66971.57"
"03/01/2022 19:15 - 03/01/2022 19:30","Germany (DE)","68461.37","66517.65"
"03/01/2022 19:30 - 03/01/2022 19:45","Germany (DE)","67782.97","66125.79"
"03/01/2022 19:45 - 03/01/2022 20:00","Germany (DE)","67192.73","65810.14"
"03/01/2022 20:00 - 03/01/2022 20:15","Germany (DE)","65987.01","65150.02"
"03/01/2022 20:15 - 03/01/2022 20:30","Germany (DE)","64655.61","64681.66"
"03/01/2022 20:30 - 03/01/2022 20:45","Germany (DE)","63449.03","63692.91"
"03/01/2022 20:45 - 03/01/2022 21:00","Germany (DE)","62420.34","62925.43"
"03/01/2022 21:00 - 03/01/2022 21:15","Germany (DE)","61531.81","62737.32"
"03/01/2022 21:15 - 03/01/2022 21:30","Germany (DE)","60717.40","62274.02"
"03/01/2022 21:30 - 03/01/2022 21:45","Germany (DE)","59758.70","61504.26"
"03/01/2022 21:45 - 03/01/2022 22:00","Germany (DE)","59340.84","60875.45"
"03/01/2022 22:00 - 03/01/2022 22:15","Germany (DE)","59136.38","60746.88"
"03/01/2022 22:15 - 03/01/2022 22:30","Germany (DE)","58096.37","60038.38"
"03/01/2022 22:30 - 03/01/2022 22:45","Germany (DE)","56910.43","58932.10"
"03/01/2022 22:45 - 03/01/2022 23:00","Germany (DE)","55884.63","58124.56"
"03/01/2022 23:00 - 03/01/2022 23:15","Germany (DE)","54932.81","56919.68"
"03/01/2022 23:15 - 03/01/2022 23:30","Germany (DE)","54134.99","56107.53"
"03/01/2022 23:30 - 03/01/2022 23:45","Germany (DE)","53333.49","55388.56"
"03/01/2022 23:45 - 04/01/2022 00:00","Germany (DE)","52630.39","55003.28"
"04/01/2022 00:00 - 04/01/2022 00:15","Germany (DE)","51602.54","54314.55"
"04/01/2022 00:15 - 04/01/2022 00:30","Germany (DE)","51105.05","53660.65"
"04/01/2022 00:30 - 04/01/2022 00:45","Germany (DE)","50428.56","53185.31"
"04/01/2022 00:45 - 04/01/2022 01:00","Germany (DE)","49717.13","52439.19"
"04/01/2022 01:00 - 04/01/2022 01:15","Germany (DE)","48921.27","51845.01"
"04/01/2022 01:15 - 04/01/2022 01:30","Germany (DE)","48491.31","51517.92"
"04/01/2022 01:30 - 04/01/2022 01:45","Germany (DE)","48288.67","51275.80"
"04/01/2022 01:45 - 04/01/2022 02:00","Germany (DE)","48102.84","51000.05"
"04/01/2022 02:00 - 04/01/2022 02:15","Germany (DE)","47641.71","50722.66"
"04/01/2022 02:15 - 04/01/2022 02:30","Germany (DE)","47691.01","50762.39"
"04/01/2022 02:30 - 04/01/2022 02:45","Germany (DE)","47633.55","50680.84"
"04/01/2022 02:45 - 04/01/2022 03:00","Germany (DE)","47643.98","50620.67"
"04/01/2022 03:00 - 04/01/2022 03:15","Germany (DE)","47994.00","50541.33"
"04/01/2022 03:15 - 04/01/2022 03:30","Germany (DE)","48015.49","50790.51"
"04/01/2022 03:30 - 04/01/2022 03:45","Germany (DE)","48089.32","50976.77"
"04/01/2022 03:45 - 04/01/2022 04:00","Germany (DE)","48401.15","51110.64"
"04/01/2022 04:00 - 04/01/2022 04:15","Germany (DE)","48694.73","51553.36"
"04/01/2022 04:15 - 04/01/2022 04:30","Germany (DE)","49080.12","51769.39"
"04/01/2022 04:30 - 04/01/2022 04:45","Germany (DE)","49710.91","52015.19"
"04/01/2022 04:45 - 04/01/2022 05:00","Germany (DE)","50219.77","52571.79"
"04/01/2022 05:00 - 04/01/2022 05:15","Germany (DE)","50957.01","53377.65"
"04/01/2022 05:15 - 04/01/2022 05:30","Germany (DE)","51565.16","53943.15"
"04/01/2022 05:30 - 04/01/2022 05:45","Germany (DE)","52434.94","54825.82"
"04/01/2022 05:45 - 04/01/2022 06:00","Germany (DE)","53667.72","55824.89"
