"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"10/01/2015 04:00 - 10/01/2015 05:00","Italy (IT)","22917.00","22918.00"
"10/01/2015 05:00 - 10/01/2015 06:00","Italy (IT)","23598.00","23476.00"
"10/01/2015 06:00 - 10/01/2015 07:00","Italy (IT)","25982.00","25845.00"
"10/01/2015 07:00 - 10/01/2015 08:00","Italy (IT)","30022.00","29749.00"
"10/01/2015 08:00 - 10/01/2015 09:00","Italy (IT)","32358.00","32580.00"
"10/01/2015 09:00 - 10/01/2015 10:00","Italy (IT)","34749.00","34962.00"
"10/01/2015 10:00 - 10/01/2015 11:00","Italy (IT)","34748.00","34936.00"
"10/01/2015 11:00 - 10/01/2015 12:00","Italy (IT)","33821.00","34008.00"
"10/01/2015 12:00 - 10/01/2015 13:00","Italy (IT)","32219.00","32781.00"
"10/01/2015 13:00 - 10/01/2015 14:00","Italy (IT)","31118.00","31216.00"
"10/01/2015 14:00 - 10/01/2015 15:00","Italy (IT)","30130.00","30540.00"
"10/01/2015 15:00 - 10/01/2015 16:00","Italy (IT)","29897.00","30540.00"
"10/01/2015 16:00 - 10/01/2015 17:00","Italy (IT)","30643.00","31853.00"
"10/01/2015 17:00 - 10/01/2015 18:00","Italy (IT)","34507.00","35724.00"
"10/01/2015 18:00 - 10/01/2015 19:00","Italy (IT)","36120.00","37164.00"
"10/01/2015 19:00 - 10/01/2015 20:00","Italy (IT)","36091.00","37131.00"
"10/01/2015 20:00 - 10/01/2015 21:00","Italy (IT)","33768.00","34777.00"
"10/01/2015 21:00 - 10/01/2015 22:00","Italy (IT)","31308.00","31959.00"
"10/01/2015 22:00 - 10/01/2015 23:00","Italy (IT)","28713.00","29145.00"
"10/01/2015 23:00 - 11/01/2015 00:00","Italy (IT)","26165.00","26808.00"
"11/01/2015 00:00 - 11/01/2015 01:00","Italy (IT)","23802.00","24427.00"
"11/01/2015 01:00 - 11/01/2015 02:00","Italy (IT)","22108.00","22334.00"
"11/01/2015 02:00 - 11/01/2015 03:00","Italy (IT)","21164.00","21195.00"
"11/01/2015 03:00 - 11/01/2015 04:00","Italy (IT)","20534.00","20586.00"
"11/01/2015 04:00 - 11/01/2015 05:00","Italy (IT)","20276.00","20478.00"
"11/01/2015 05:00 - 11/01/2015 06:00","Italy (IT)","20844.00","20866.00"
"11/01/2015 06:00 - 11/01/2015 07:00","Italy (IT)","22016.00","21892.00"
"11/01/2015 07:00 - 11/01/2015 08:00","Italy (IT)","23343.00","23118.00"
"11/01/2015 08:00 - 11/01/2015 09:00","Italy (IT)","24820.00","24552.00"
"11/01/2015 09:00 - 11/01/2015 10:00","Italy (IT)","27108.00","27114.00"
"11/01/2015 10:00 - 11/01/2015 11:00","Italy (IT)","28543.00","28581.00"
"11/01/2015 11:00 - 11/01/2015 12:00","Italy (IT)","29239.00","29485.00"
"11/01/2015 12:00 - 11/01/2015 13:00","Italy (IT)","29002.00","29495.00"
"11/01/2015 13:00 - 11/01/2015 14:00","Italy (IT)","27291.00","28037.00"
"11/01/2015 14:00 - 11/01/2015 15:00","Italy (IT)","26367.00","27032.00"
"11/01/2015 15:00 - 11/01/2015 16:00","Italy (IT)","26216.00","26839.00"
"11/01/2015 16:00 - 11/01/2015 17:00","Italy (IT)","27022.00","27500.00"
"11/01/2015 17:00 - 11/01/2015 18:00","Italy (IT)","30934.00","31472.00"
"11/01/2015 18:00 - 11/01/2015 19:00","Italy (IT)","32341.00","33238.00"
"11/01/2015 19:00 - 11/01/2015 20:00","Italy (IT)","32961.00","33603.00"
"11/01/2015 20:00 - 11/01/2015 21:00","Italy (IT)","31781.00","32733.00"
"11/01/2015 21:00 - 11/01/2015 22:00","Italy (IT)","30285.00","30750.00"
"11/01/2015 22:00 - 11/01/2015 23:00","Italy (IT)","27920.00","28248.00"
"11/01/2015 23:00 - 12/01/2015 00:00","Italy (IT)","25269.00","25436.00"
"12/01/2015 00:00 - 12/01/2015 01:00","Italy (IT)","22937.00","23564.00"
"12/01/2015 01:00 - 12/01/2015 02:00","Italy (IT)","21338.00","21852.00"
"12/01/2015 02:00 - 12/01/2015 03:00","Italy (IT)","20546.00","21093.00"
"12/01/2015 03:00 - 12/01/2015 04:00","Italy (IT)","20459.00","20988.00"
"12/01/2015 04:00 - 12/01/2015 05:00","Italy (IT)","20911.00","21584.00"
"12/01/2015 05:00 - 12/01/2015 06:00","Italy (IT)","23108.00","23625.00"
"12/01/2015 06:00 - 12/01/2015 07:00","Italy (IT)","29382.00","29490.00"
"12/01/2015 07:00 - 12/01/2015 08:00","Italy (IT)","36204.00","36613.00"
"12/01/2015 08:00 - 12/01/2015 09:00","Italy (IT)","40833.00","41762.00"
"12/01/2015 09:00 - 12/01/2015 10:00","Italy (IT)","42480.00","43794.00"
"12/01/2015 10:00 - 12/01/2015 11:00","Italy (IT)","42466.00","43803.00"
"12/01/2015 11:00 - 12/01/2015 12:00","Italy (IT)","42457.00","43553.00"
"12/01/2015 12:00 - 12/01/2015 13:00","Italy (IT)","39891.00","41177.00"
"12/01/2015 13:00 - 12/01/2015 14:00","Italy (IT)","39539.00","41175.00"
"12/01/2015 14:00 - 12/01/2015 15:00","Italy (IT)","40250.00","41685.00"
"12/01/2015 15:00 - 12/01/2015 16:00","Italy (IT)","39955.00","41862.00"
"12/01/2015 16:00 - 12/01/2015 17:00","Italy (IT)","40960.00","42870.00"
"12/01/2015 17:00 - 12/01/2015 18:00","Italy (IT)","44163.00","45731.00"
"12/01/2015 18:00 - 12/01/2015 19:00","Italy (IT)","43987.00","45285.00"
"12/01/2015 19:00 - 12/01/2015 20:00","Italy (IT)","42747.00","43652.00"
"12/01/2015 20:00 - 12/01/2015 21:00","Italy (IT)","40439.00","41162.00"
